,artist,firstName,gender,itemInSession,lastName,length,level,location,sessionId,song,userId
0,Harmonia,Ryan,M,0,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",583,Sehr kosmisch,26.0
1,The Prodigy,Ryan,M,1,Smith,260.07465,free,"San Jose-Sunnyvale-Santa Clara, CA",583,The Big Gundown,26.0
2,Train,Ryan,M,2,Smith,205.45261000000002,free,"San Jose-Sunnyvale-Santa Clara, CA",583,Marry Me,26.0
3,,Wyatt,M,0,Scott,,free,"Eureka-Arcata-Fortuna, CA",563,,9.0
4,,Austin,M,0,Rosales,,free,"New York-Newark-Jersey City, NY-NJ-PA",521,,12.0
5,Sony Wonder,Samuel,M,0,Gonzalez,218.06975,free,"Houston-The Woodlands-Sugar Land, TX",597,Blackbird,61.0
6,,Samuel,M,1,Gonzalez,,free,"Houston-The Woodlands-Sugar Land, TX",597,,61.0
7,,,,0,,,paid,,602,,
8,,Tegan,F,1,Levine,,paid,"Portland-South Portland, ME",602,,80.0
9,Van Halen,Tegan,F,2,Levine,289.38403999999997,paid,"Portland-South Portland, ME",602,Best Of Both Worlds (Remastered Album Version),80.0
10,Magic Sam,Tegan,F,3,Levine,132.04853,paid,"Portland-South Portland, ME",602,Call Me If You Need Me,80.0
11,Edward Sharpe & The Magnetic Zeros,Tegan,F,4,Levine,306.31138,paid,"Portland-South Portland, ME",602,Home,80.0
12,Usher featuring will.i.am,Tegan,F,5,Levine,395.72853,paid,"Portland-South Portland, ME",602,OMG,80.0
13,,Tegan,F,6,Levine,,paid,"Portland-South Portland, ME",602,,80.0
14,Helen Reddy,Tegan,F,7,Levine,176.50893,paid,"Portland-South Portland, ME",602,Candle On The Water,80.0
15,Taylor Swift,Tegan,F,8,Levine,201.06403999999998,paid,"Portland-South Portland, ME",602,Our Song,80.0
16,Sean Paul,Tegan,F,9,Levine,245.34159,paid,"Portland-South Portland, ME",602,Baby Boy [feat. Beyonce],80.0
17,Soundgarden,Lily,F,0,Koch,272.19546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Black Hole Sun,15.0
18,The Killers,Tegan,F,10,Levine,360.75057000000004,paid,"Portland-South Portland, ME",602,Human,80.0
19,Amy Winehouse,Lily,F,1,Koch,165.11955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Addicted,15.0
20,Steve Anderson,Lily,F,2,Koch,265.06404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Air,15.0
